,year,time,n,mean.trt1.g.m2,mean.trt2.g.m2,mean.trt3.g.m2,mean.coho.g.m2,mean.chin.g.m2,mean.mwf.g.m2,mean.total.salmon.g.m2
trt1.g.m2,-2,Before,143,0.09367593,0.395770626,2.61500406,0,0,0,3.104450615
trt1.g.m2,0,2004,41,0.087215453,0.243037025,1.560108276,0.081475872,0.031598841,0.042566433,2.0460019
trt1.g.m2,1,2005,195,0.110160804,0.802787962,1.512875804,0.398194298,0.034865204,0.073084476,2.931968547
trt1.g.m2,2,2006,156,0.115812437,0.54671836,1.285113544,0.329667935,0.004330686,0.233420297,2.515063257
trt1.g.m2,3,2007,67,0.09739364,0.629412546,1.981215395,0.965109295,0.02562641,0.023459928,3.722217214
trt1.g.m2,4,2008,103,0.166404816,0.831437015,1.336810492,2.633857325,0.07192735,0.259538119,5.299975117
trt1.g.m2,5,2009,114,0.077137518,0.733411419,0.894021271,1.235873199,0.002020879,0.600777214,3.543241501
trt1.g.m2,6,2010,131,0.095441966,0.651889563,1.081225129,1.215096712,0.003525171,0.546622458,3.593800997
trt1.g.m2,7,2011,115,0.119952783,0.733770023,1.706848789,0.822587331,0.002998191,1.493759018,4.879916135
trt1.g.m2,8,2012,144,0.208454658,0.593394662,1.685714112,2.074241786,0.006352575,1.193854688,5.762012481
trt1.g.m2,9,2013,106,0.167950329,1.807067399,3.181154719,3.972342538,0.047853809,1.481149703,10.6575185
trt1.g.m2,10,2014,90,0.084527016,0.559254451,1.2948014,2.442176572,0.015307512,1.099994571,5.496061523
trt1.g.m2,11,2015,112,0.133475369,0.321649881,1.394507243,2.816273835,0,1.19053709,5.856443418
trt1.g.m2,12,2016,131,0.105230746,0.470146407,1.07624225,2.745764407,0.00036136,0.795480886,5.193226055
trt1.g.m2,13,2017,163,0.106324065,0.67321022,1.89444182,3.316550488,0.010865958,1.064154718,7.065547269
trt1.g.m2,14,2018,135,0.12495673,0.806533733,1.031435053,2.714096781,0.00026455,1.428870522,6.106157369